195111,7.4
195211,1.72
195311,6.51
195411,4.67
195511,6.7
195611,1.2
195711,2.81
195811,7.87
195911,1.42
196011,12.02
196111,9.35
196211,6.34
196311,7.87
196411,10.7
196511,7.43
196611,9.1
196711,3.22
196811,7.02
196911,2.73
197011,8.23
197111,9.48
197211,3.76
197311,20.48
197411,6.42
197511,8.47
197611,1.33
197711,9.15
197811,6.61
197911,6.09
198011,8.66
198111,9.5
198211,7.07
198311,13.13
198411,18.67
198511,6.31
198611,11.05
198711,4.66
198811,14.27
198911,5
199011,7.59
199111,10.47
199211,6.54
199311,1.98
199411,9.58
199511,9.47
199611,12.06
199711,4.29
199811,11.35
199911,8.02
200011,1.61
200111,6.88
200211,4.72
200311,5.74
200411,2.22
200511,5.19
200611,14.28
200711,4.46
200811,3.97
200911,5.63
201011,5.91
201111,5.34
201211,7.63
201311,2.13
201411,5.28
201511,2.8
201611,4.3
201711,7.46
201811,3.46
201911,1.23
202011,5.47
